latitude,longitude
34.537094,-82.630303
35.0257,-78.9705
39.151817,-77.16381
38.636738,-121.31955
47.616955,-122.348921
38.941271,-95.247236
41.947932,-87.676255
41.965644,-87.65035
40.054785,-75.138396
29.5042,-98.5697
33.976649,-83.360298
41.528837,-90.557256
35.859457,-78.717513
32.794435,-96.815231
39.138465,-84.509969
44.5212,-89.5588
39.544565,-119.891434
43.603566,-84.773063
41.999273,-87.697077
45.0632,-93.3811
36.223303,-115.067015
33.5667,-84.4364
41.7458,-87.6054
42.2439,-83.583
40.746436,-73.977696
32.918477,-96.773082
31.552206,-110.255635
32.788494,-79.952376
38.494906,-121.45002
47.670965,-117.224979
42.57933,-114.433229
34.861733,-118.182614
36.071112,-115.304732
34.066152,-118.392341
36.806651,-119.765662
38.587565,-121.402531
42.356387,-71.169262
37.230352,-77.404306
30.3752,-97.9007
38.437237,-121.416929
41.782593,-87.608339
38.886807,-77.100425
44.015561,-92.457486
40.672196,-73.911323
38.811449,-77.061343
42.352074,-71.134758
39.295593,-76.458972
42.203463,-72.630899
37.318,-122.0449
40.825436,-73.950605
41.819284,-71.395534
47.448639,-122.270579
47.036656,-122.92858
30.419285,-91.188444
34.1388,-80.8892
36.8695,-76.2945
29.7517,-95.4054
40.5209,-78.4089
40.693804,-73.92793
42.428046,-123.324229
42.463724,-92.392509
33.385195,-117.252829
31.323799,-92.48826
37.7051,-97.3133
34.2656,-118.7653
44.967717,-93.27933
47.23127,-122.495219
32.8926,-83.7455
40.6807,-73.4444
27.4544,-82.6358
27.776652,-82.635448
34.278999,-118.685533
25.9974,-80.3248
40.74859,-73.974252
40.80041,-96.700566
41.779133,-87.693551
47.3929,-122.3129
32.71475,-117.155587
41.935732,-87.644454
36.29562,-95.85331
39.946625,-75.233696
25.970546,-80.360109
27.9551,-82.2966
34.500938,-82.003
43.114667,-88.014983
43.136011,-76.314383
36.850934,-119.778636
39.179445,-96.562164
36.015462,-78.921684
42.896529,-78.872116
42.208431,-85.786228
33.7984,-84.3883
41.7326,-72.7337
33.731647,-117.825908
35.0768,-85.3082
25.7629,-80.1895
42.243753,-83.618574
26.311516,-98.177283
38.1574,-79.0651
38.887591,-77.096059
41.943832,-87.645354
44.041673,-123.085297
42.3647,-71.1042
36.085519,-115.250759
37.750002,-122.407115
43.003455,-73.848553
41.94757,-87.670963
41.891032,-87.624252
34.038516,-118.460802
39.975403,-75.124955
42.288516,-83.735226
27.752709,-82.755203
38.549206,-121.720576
30.5145,-97.668
32.8674,-79.8049
34.06911,-118.303008
41.712807,-71.258278
30.2916,-89.8129
29.9504,-90.1236
34.5087,-82.5101
38.4678,-107.8752
40.796629,-74.00166
34.15319,-118.46527
40.634375,-74.003134
40.126653,-83.001666
41.924532,-87.713756
33.463244,-111.917699
42.739571,-71.49446
47.61982,-122.311237
33.377998,-112.004272
45.9219,-122.7126
39.945919,-75.183771
28.055015,-81.946077
40.4001,-80.0161
40.00244,-105.26776
28.647824,-81.24016
30.2801,-81.4165
25.787333,-80.143483
45.659272,-122.60386
41.245418,-95.959675
46.937547,-122.625661
38.909268,-77.019482
33.702769,-117.342417
34.12721,-117.28125
35.861463,-78.681774
42.103413,-72.562122
32.722191,-117.152428
34.1173,-117.4378
61.200631,-149.908696
46.605119,-120.500662
42.469855,-70.924969
42.33669,-71.069023
40.7056,-74.0083
29.265586,-94.780941
43.038654,-87.921056
32.808945,-97.211985
42.483911,-70.907501
39.999364,-75.127106
33.999502,-117.818348
32.961912,-96.824749
38.617957,-121.417629
45.541,-94.1819
40.7843,-76.549703
42.34392,-71.089965
40.688935,-73.905041
39.911552,-105.037622
44.003126,-123.079598
30.390839,-91.244507
26.122999,-80.136874
40.176471,-79.857464
41.931269,-87.640429
34.4466,-118.5374
26.0185,-80.3449
35.120674,-118.459227
44.804729,-93.379674
29.168482,-81.027936
42.3535,-71.1329
38.552206,-121.738772
42.370943,-71.084963
37.551413,-77.449561
39.622476,-119.848337
39.998887,-82.998769
29.652995,-82.365363
38.612152,-90.313215
42.348013,-71.071495
40.659187,-73.977191
37.8843,-122.4637
34.0614,-118.2385
41.011847,-85.17477
33.61084,-112.129641
40.704825,-73.924586
41.7813,-87.6051
27.9865,-82.0139
32.711614,-117.151127
40.589755,-122.345719
39.745573,-104.983442
41.89251,-87.616364
33.45892,-112.021411
26.008196,-80.256951
41.9399,-87.6528
42.388585,-83.1925
41.994971,-87.682774
33.478842,-112.104405
37.767655,-122.430195
41.947586,-87.66223
41.6069,-81.4993
30.031444,-89.994353
29.681309,-82.351844
35.253838,-120.692719
32.750686,-117.114318
42.3024,-85.5882
37.102152,-76.426563
38.80434,-94.53541
36.6543,-119.5929
45.309913,-122.759248
37.489587,-121.924928
41.724564,-83.666051
38.863731,-77.081807
37.6455,-77.6266
29.1989,-82.0874
37.767655,-122.430195
42.3028,-85.2128
41.935732,-87.642642
26.1168,-80.4156
40.719056,-73.99189
25.749884,-80.242124
34.138849,-117.198865
43.275378,-70.982194
